split,metric,mean,lo,hi,ci,n_bootstrap
val,accuracy,0.9809500000000001,0.94,1.0,0.95,2000
val,precision,1.0,1.0,1.0,0.95,2000
val,recall,0.9619000000000001,0.88,1.0,0.95,2000
val,f1,0.9801604537821912,0.9361702127659575,1.0,0.95,2000
val,roc_auc,0.9955056,0.9808,1.0,0.95,2000
holdout,accuracy,0.90114,0.82,0.98,0.95,2000
holdout,precision,0.9187188772010892,0.8076923076923077,1.0,0.95,2000
holdout,recall,0.883,0.76,1.0,0.95,2000
holdout,f1,0.8988300819762861,0.8085106382978723,0.9795918367346939,0.95,2000
holdout,roc_auc,0.9841232,0.9552,1.0,0.95,2000
