split,metric,mean,lo,hi,ci,n_bootstrap
validation,accuracy,0.92127,0.84,0.98,0.95,2000
validation,precision,0.9233630275658086,0.8180976430976433,1.0,0.95,2000
validation,recall,0.9215399999999999,0.8,1.0,0.95,2000
validation,f1,0.9211250027950844,0.84,0.9803921568627451,0.95,2000
validation,roc_auc,0.976752,0.9295999999999999,1.0,0.95,2000
frozen_holdout,accuracy,0.82247,0.72,0.92,0.95,2000
frozen_holdout,precision,0.7558562812898454,0.65625,0.8620689655172413,0.95,2000
frozen_holdout,recall,0.9619000000000001,0.88,1.0,0.95,2000
frozen_holdout,f1,0.8452411702239558,0.7636363636363637,0.9259259259259259,0.95,2000
frozen_holdout,roc_auc,0.9104032,0.8079600000000001,0.9872399999999999,0.95,2000
